Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,0.31,0.5270096465242177
100% Corpus,9,0.61,0.61,0.5703185676468736
100% Corpus,9,0.61,0.9099999999999999,
100% Corpus,9,0.61,symmetric,0.5620125544825578
100% Corpus,9,0.9099999999999999,0.01,0.565713490389895
100% Corpus,9,0.9099999999999999,0.31,0.5140073943383651
100% Corpus,9,0.9099999999999999,0.61,0.5785174558533505
100% Corpus,9,0.9099999999999999,0.9099999999999999,
100% Corpus,9,0.9099999999999999,symmetric,0.5681329982723297
100% Corpus,9,symmetric,0.01,0.5584146438882018
100% Corpus,9,symmetric,0.31,0.5331121661774154
100% Corpus,9,symmetric,0.61,0.550363391933118
100% Corpus,9,symmetric,0.9099999999999999,
100% Corpus,9,symmetric,symmetric,0.54581476012368
100% Corpus,9,asymmetric,0.01,0.5291118938503598
100% Corpus,9,asymmetric,0.31,0.5298038128355028
100% Corpus,9,asymmetric,0.61,0.5514782301779436
100% Corpus,9,asymmetric,0.9099999999999999,
100% Corpus,9,asymmetric,symmetric,0.5216792142229124
